Dystans do przejscia: 100, dlugosc kroku: 10
0: (x,y) = (0, 0)
1: (x,y) = (8.38671, -5.44639)
2: (x,y) = (9.08427, 4.52925)
3: (x,y) = (10.303, -5.39621)
4: (x,y) = (0.96716, -8.97989)
5: (x,y) = (8.03823, -1.90882)
6: (x,y) = (11.4584, -11.3057)
7: (x,y) = (3.57832, -17.4624)
8: (x,y) = (7.96203, -8.47442)
9: (x,y) = (10.5502, 1.18483)
10: (x,y) = (11.4218, 11.1468)
11: (x,y) = (2.14994, 14.8928)
12: (x,y) = (-7.1219, 11.1468)
13: (x,y) = (2.44115, 8.22306)
14: (x,y) = (11.0128, 3.07268)
15: (x,y) = (3.46573, -3.48791)
16: (x,y) = (-4.30573, 2.8053)
17: (x,y) = (-8.0518, 12.0771)
18: (x,y) = (-13.4982, 3.69043)
19: (x,y) = (-15.9174, 13.3934)
20: (x,y) = (-5.95546, 14.2649)
21: (x,y) = (-10.8036, 23.0111)
22: (x,y) = (-5.80356, 31.6714)
23: (x,y) = (-1.10884, 22.8419)
24: (x,y) = (-9.39922, 28.4338)
25: (x,y) = (-17.8797, 33.733)
26: (x,y) = (-12.8797, 42.3933)
27: (x,y) = (-16.787, 51.5983)
28: (x,y) = (-11.787, 60.2586)
29: (x,y) = (-4.59361, 53.312)
30: (x,y) = (-14.1042, 56.4022)
31: (x,y) = (-9.87799, 65.4653)
32: (x,y) = (-13.2982, 56.0683)
33: (x,y) = (-16.8819, 46.7325)
34: (x,y) = (-26.0869, 42.8252)
35: (x,y) = (-28.166, 52.6067)
36: (x,y) = (-30.7542, 42.9474)
37: (x,y) = (-36.2006, 51.3341)
38: (x,y) = (-36.8982, 61.3098)
39: (x,y) = (-35.1617, 71.1579)
40: (x,y) = (-45.0098, 69.4214)
41: (x,y) = (-48.43, 78.8183)
42: (x,y) = (-58.3919, 77.9467)
43: (x,y) = (-49.5625, 82.6415)
44: (x,y) = (-40.427, 86.7088)
45: (x,y) = (-48.9075, 81.4096)
46: (x,y) = (-56.221, 88.2296)
Po 46 krokach delikwent osisgnalpolozenie:
(x,y) = (-56.221, 88.2296)
czyli
(m,a) = (104.62, 122.506)
Srednia dlugosc kroku pozornego = 2.27434
Dystans do przejscia: 50, dlugosc kroku: 8
46: (x,y) = (0, 0)
47: (x,y) = (6.85734, -4.1203)
48: (x,y) = (14.3749, -6.85647)
49: (x,y) = (7.06652, -3.60257)
50: (x,y) = (3.31074, 3.46101)
51: (x,y) = (-0.809561, -3.39633)
52: (x,y) = (6.9528, -1.46096)
53: (x,y) = (4.34826, -9.0251)
54: (x,y) = (9.90553, -3.27039)
55: (x,y) = (16.7629, 0.849919)
56: (x,y) = (21.0022, 7.6343)
57: (x,y) = (22.1156, 15.5564)
58: (x,y) = (14.5981, 18.2926)
59: (x,y) = (17.2026, 25.8568)
60: (x,y) = (24.6713, 22.9898)
61: (x,y) = (19.6367, 16.7726)
62: (x,y) = (22.6335, 9.35518)
63: (x,y) = (30.4866, 7.8287)
64: (x,y) = (32.013, 15.6817)
65: (x,y) = (24.5444, 12.8148)
66: (x,y) = (29.7929, 18.8525)
67: (x,y) = (31.998, 11.1624)
68: (x,y) = (39.851, 9.63589)
69: (x,y) = (46.7083, 13.7562)
70: (x,y) = (42.588, 6.89886)
71: (x,y) = (38.7095, 13.8958)
72: (x,y) = (37.4581, 21.7973)
73: (x,y) = (29.6329, 20.134)
74: (x,y) = (21.8379, 21.9336)
75: (x,y) = (19.3658, 29.5421)
76: (x,y) = (26.0751, 33.8992)
77: (x,y) = (32.2035, 28.7569)
78: (x,y) = (38.3319, 33.8992)
Po 32 krokach delikwent osisgnalpolozenie:
(x,y) = (38.3319, 33.8992)
czyli
(m,a) = (51.1712, 41.4883)
Srednia dlugosc kroku pozornego = 1.5991
